Employee #,Last Name,First Name,Date,Log In,Log Out,Payslip Groupings,Duration
10001,Garcia,Manuel III,6/3/24,0.374305556,0.771527778,Jun 1-15 Cut Off,0.292361111
10002,Lim,Antonio,6/3/24,0.440972222,0.822222222,Jun 1-15 Cut Off,0.225694445
10003,Aquino,Bianca Sofia,6/3/24,0.432638889,0.772222222,Jun 1-15 Cut Off,0.234027778
10004,Reyes,Isabella,6/3/24,0.45625,0.759722222,Jun 1-15 Cut Off,0.210416667
10005,Hernandez,Eduard,6/3/24,0.408333333,0.717361111,Jun 1-15 Cut Off,0.258333334
10006,Villanueva,Andrea Mae,6/3/24,0.396527778,0.811805556,Jun 1-15 Cut Off,0.270138889
10007,San Jose,Brad,6/3/24,0.38125,0.6875,Jun 1-15 Cut Off,0.264583333
10008,Romualdez,Alice,6/3/24,0.376388889,0.754166667,Jun 1-15 Cut Off,0.290277778
10009,Atienza,Rosie,6/3/24,0.345833333,0.736111111,Jun 1-15 Cut Off,0.320833334
10010,Alvaro,Roderick,6/3/24,0.340277778,0.634027778,Jun 1-15 Cut Off,0.252083333
10011,Salcedo,Anthony,6/3/24,0.380555556,0.816666667,Jun 1-15 Cut Off,0.286111111
10012,Lopez,Josie,6/3/24,0.407638889,0.779861111,Jun 1-15 Cut Off,0.259027778
10013,Farala,Martha,6/3/24,0.408333333,0.80625,Jun 1-15 Cut Off,0.258333334
10014,Martinez,Leila,6/3/24,0.390972222,0.75625,Jun 1-15 Cut Off,0.275694445
10015,Romualdez,Fredrick,6/3/24,0.361805556,0.810416667,Jun 1-15 Cut Off,0.304861111
10016,Mata,Christian,6/3/24,0.361805556,0.697916667,Jun 1-15 Cut Off,0.294444444
10017,De Leon,Selena,6/3/24,0.402777778,0.725,Jun 1-15 Cut Off,0.263888889
10018,San Jose,Allison,6/3/24,0.348611111,0.698611111,Jun 1-15 Cut Off,0.308333333
10019,Rosario,Cydney,6/3/24,0.411805556,0.725,Jun 1-15 Cut Off,0.254861111
10020,Bautista,Mark,6/3/24,0.365972222,0.685416667,Jun 1-15 Cut Off,0.277777778
10021,Lazaro,Darlene,6/3/24,0.400694444,0.78125,Jun 1-15 Cut Off,0.265972223
10022,Delos Santos,Kolby,6/3/24,0.454166667,0.840277778,Jun 1-15 Cut Off,0.2125
10023,Santos,Vella,6/3/24,0.435416667,0.840277778,Jun 1-15 Cut Off,0.23125
10024,Del Rosario,Tomas,6/3/24,0.386111111,0.747916667,Jun 1-15 Cut Off,0.280555556
10025,Tolentino,Jacklyn,6/3/24,0.429166667,0.754861111,Jun 1-15 Cut Off,0.2375
10026,Gutierrez,Percival,6/3/24,0.345138889,0.771527778,Jun 1-15 Cut Off,0.321527778
10027,Manalaysay,Garfield,6/3/24,0.378472222,0.801388889,Jun 1-15 Cut Off,0.288194445
10028,Villegas,Lizeth,6/3/24,0.369444444,0.724305556,Jun 1-15 Cut Off,0.297222223
10029,Ramos,Carol,6/3/24,0.45625,0.905555556,Jun 1-15 Cut Off,0.210416667
10030,Maceda,Emelia,6/3/24,0.377777778,0.69375,Jun 1-15 Cut Off,0.274305555
10031,Aguilar,Delia,6/3/24,0.421527778,0.86875,Jun 1-15 Cut Off,0.245138889
10032,Castro,John Rafael,6/3/24,0.353472222,0.698611111,Jun 1-15 Cut Off,0.303472222
10033,Martinez,Carlos Ian,6/3/24,0.418055556,0.81875,Jun 1-15 Cut Off,0.248611111
10034,Santos,Beatriz,6/3/24,0.420138889,0.758333333,Jun 1-15 Cut Off,0.246527778
10001,Garcia,Manuel III,6/4/24,0.407638889,0.796527778,Jun 1-15 Cut Off,0.259027778
10002,Lim,Antonio,6/4/24,0.424305556,0.844444444,Jun 1-15 Cut Off,0.242361111
10003,Aquino,Bianca Sofia,6/4/24,0.447916667,0.859027778,Jun 1-15 Cut Off,0.21875
10004,Reyes,Isabella,6/4/24,0.40625,0.704166667,Jun 1-15 Cut Off,0.25625
10005,Hernandez,Eduard,6/4/24,0.409722222,0.847222222,Jun 1-15 Cut Off,0.256944445
10006,Villanueva,Andrea Mae,6/4/24,0.416666667,0.841666667,Jun 1-15 Cut Off,0.25
10007,San Jose,Brad,6/4/24,0.386111111,0.679166667,Jun 1-15 Cut Off,0.251388889
10008,Romualdez,Alice,6/4/24,0.4,0.788888889,Jun 1-15 Cut Off,0.266666667
10009,Atienza,Rosie,6/4/24,0.445138889,0.80625,Jun 1-15 Cut Off,0.221527778
10010,Alvaro,Roderick,6/4/24,0.336805556,0.775,Jun 1-15 Cut Off,0.333333333
10011,Salcedo,Anthony,6/4/24,0.415277778,0.711111111,Jun 1-15 Cut Off,0.251388889
10012,Lopez,Josie,6/4/24,0.361805556,0.704861111,Jun 1-15 Cut Off,0.301388888
10013,Farala,Martha,6/4/24,0.342361111,0.748611111,Jun 1-15 Cut Off,0.324305556
10014,Martinez,Leila,6/4/24,0.382638889,0.715277778,Jun 1-15 Cut Off,0.284027778
10015,Romualdez,Fredrick,6/4/24,0.440972222,0.779861111,Jun 1-15 Cut Off,0.225694445
